,email,hash_key,salt,gender,ethnicity,religion,country,faculty,clubs,events
0,agAxklimAUT@msn.com,b'\xd8\xf3\xa7}\x82\xb3@\xe3\xca\xa0\xd4\xa1\xc8\x9c\x86\x17\x82\xaa\x80^\xc9\xbe[\xab\x16U+\xf3\x8aW;\xb7',b'\xa9\x92%\xed\xd5n\x98\xe4&\xaf\x87G\x9f\x98=\x9a\x8b\xd5\x8d\xb5\xeb\x9e\x0f\xb2\x9a\xd7\xef\xf2\x1f;Gd',female,pakistani,judaism,Romania,school of engineering,"['Earth and Environmental Sciences Course Union', 'NDP Club', 'iSoto (Indonesian Students of the Okanagan)', 'iGEM UBCO', 'Wildlife Society UBCO Student Chapter', 'Women in Engineering', 'Kelowna Ismaili Student Association', ""Persian Students' Club"", 'International Relations Student Association', 'NDP Club', 'Astronomy Club']","['11701', '11380', '11858', '11168', '11897']"
1,GtEyQx@aol.com,b'\r%\x8cZ\xd1\xb1$\xbd\x06\xcc\x8fWj\x08\xe7G\x98\xaf\xb6\xb3iHo\x12n|u\xba\x05\xb7{\xbc',b'\x18t;_\xe9z\xf5<\xa9$\x19\xd8\x8f+\xcc\xcb\x92\x14\xaa\x9f\x17@\xad\xa4\xbb\x1a\x1f\x8e^\xb61X',female,pakistani,christian,Marshall Islands,school of education,"['Blood Club of UBCO', 'Beats', 'Rock N Roll Club', 'Rock N Roll Club', 'South East Asian Club', 'Esports Association', 'Bhangra Club', 'Vegan Club']","['11698', '11921', '11289', '11930', '11375', '11879', '11716', '11915']"
2,FbDrkCyRJa@hotmail.com,b'\x83\x8b\xf8\xac\xcf\xe7\x1f\n\xf1\xc8w\xa8O}v\xdcs\xecF@\x8d\xd5\xbb\xb4$\x1f\xa5\x93\xc3\x9c\xfe)',b'\x1a\x85\xc8W.\xeaYM\x89\n|&\xfdy\x81\xd7iR\x9a\x83\x81\xfb\x1a\x17D\x86O\x0f\xc1\x16\xb9u',male,asian,buddhist,Tuvalu,faculty of arts and social sciences,"['Formula 1 Club', 'Formula 1 Club']","['11857', '11382', '11718', '11718', '11883', '11164', '11877', '11884', '11872', '11863', '11170', '11292']"
3,wnyGNzjBh|rBH@cox.net,"b'\x97\x16\xed\xb3S\xbe#\x13.\xdb\xadw\xb9y9\x88\x9e\xc5\xf8\x8a\xff&\n6\x1f"">\xbd\x0c\xb7H5'",b'\x8b\xd9\xd23?A\xe78lA\x11\xc9\xaf\xd0\t\x16\xa3\xad9s\xb5]\xa4\x86s`\xb0@\n\xd3X\xa4',male,indonesian,buddhist,Syria,faculty of medicine,['International Relations Student Association'],"['11818', '11295', '11381', '11920', '11158', '11375', '11569', '10892', '10992', '11872', '11916', '11869']"
4,QGyZByYEMS@aol.com,b'\xba\xcc\xba!4\xf4\x97\x94\x14%\xb7\x93i\xcft\xd8B|\x0cn\xc1\x08T\xe1\xae\x85\xa3\xac\xb5\xb6\xc4z',b'g\xebWjG\xa9\xc2\x02\x1e\xb4.\r\xc9\xd7^\xda\x8c\xb7W\xc2o0\xb5w\xaf\xe7\x00\xb4\x17\xd6==',male,asian,muslim,Suriname,faculty of creative and critical studies,"['Jack.org UBCO Chapter', 'Formula 1 Club', 'Varsity Outdoor Club Okanagan', 'Japanese Culture Club', 'Pre-Dental Society', 'Pre-Med Club', 'Sport Programming Club', 'Kelowna Ismaili Student Association', 'Debate Society', 'Social Work Course Union']","['11872', '11872', '11575', '11170']"
5,SCutIce@bigpond.com,b'\x19\xd6\xaf\x90e|s\xdf\x8e@\xd8\x10(\x9b$h\xc5\xa8\x1c\xdc\x07w\x0f\x85\xb2\x1d\x9c\xdda\x96W\t',"b'\x93\t\x10\x9c\xdd\xb2\x94v\xd5\xbe|5\x06\x90\x1bY\x01j\xb1\xba\xe7\xf0$`\xb50""N@\xd7Y\x8e'",male,pakistani,sikhism,Guinea-Bissau,faculty of arts and social sciences,"['Weightlifting Club UBCO', 'Philosophy, Politics, and Economics (PPE) Course Union', 'Muslim Students Association', ""It's Lit! Club"", 'Japanese Culture Club', 'Astronomy Club', 'Ballroom Dance Club', 'Ballroom Dance Club', 'Badminton Club', 'Bible Discussion Club']","['11290', '11299']"
6,jw=tMBzrcp@aol.com,"b',>\xb8*\x1e\x8e""\x12h\x8a?2b\x9d\x00@W\x1d=\xd8\xe2\xc8bfcj\xb570\xee/\xd2'",b'\x1a\n\x83\xd2qHV\x04h\xa4%\x9cwf\xaa\x14\x14\xaa\xe6\x14X\xbeSV\x84\xe0Y\x89sk%u',female,indian,christian,Honduras,school of education,"['Engineering Society at UBC', 'Girls in Tech']","['11922', '11166', '11372', '11380', '11497', '11162', '11170', '11569', '11877', '11862', '11167']"
7,GvuSGDa@cox.net,b'`i\xa5\x10v\xfa\xfd\x97:\xfd\xa49\x94\x86\xa5f\xe2w6\xe5\xe1\xf8\xb4\xc7\x15U&\xceM\xb1\x8d\x80',b'\x18\x97R\xdfuX\xbf]\x92n\x89\xb5\x82\xe0!\t7\xe4\x9e\xc8*\x89\xe4y\xed\xc4$\xed\x80\x18\xe6\xcc',male,asian,jainism,Zambia,faculty of medicine,"['Kelowna Ismaili Student Association', 'Nourishing Futures', 'Wildlife Society UBCO Student Chapter', 'Yoga Club', 'Engineering Society at UBC', 'Sport Programming Club', 'Chinese Students and Scholars Association', 'Age Link', 'Environmental Chemistry Course Union', 'Hope Club UBCO', 'Indian Culture and Dance Club', 'Rock N Roll Club']","['11870', '11870', '11127']"
8,ViXoYiGoVoBoO@gmail.com,"b""w%\x1e\xf2\xd6wF\xf2?a~\x92e\x02\xea\x96|}h)\x1d'w0XC\xc8\x91[\xa8/N""",b'O\xd4t\x08e\x94\x93yj\xe7s\xcf.Lr\x19\xcbM8T1g\xe9\xc0\xda\x9bX\x7fm#\x91\xde',male,latin american,atheist,Greece,faculty of creative and critical studies,"['Punjabi Student Association', ""Inclusive Men's Health Partnership"", ""Persian Students' Club"", 'Microbiology Course Union', 'Innovate, Design, Sustain Club', 'Vegan Club', 'Pre-Med Club']","['10720', '11289', '11863', '11872', '11864', '11867', '11167', '11716', '11921', '11883', '11710', '11858', '11170']"
9,uvhI`dqHNYA@cox.net,b'\x9dD\x02\x0b9\xd2\x9d\x93?LR\xefg\xf0z~\xc0s\x97\xd5\xe6\xc0\xe1v\xf2^2\x90\xcc\xbd\x13\xeb',b'\x12\x15\xef\xe1\x18p7|\xa5\xdf$8\xe2\xb5\x139;\xf197\xf2\xe3\x9c\x05\x86\xf6\xdb\xb8\xbc\xba\x94\x1d',female,japanese,jainism,Swaziland,faculty of health and social development,"['Urban Dance Club', 'Management Student Association - Accounting Club', 'UNICEF', 'Pink Backpack Club', ""Inclusive Men's Health Partnership"", 'Management Student Association - Marketing Club', 'Games Club', 'Indian Culture and Dance Club', 'Yoga Club']","['11169', '11381']"
